Dataset,DatasetKey,Model,MSE,MAE,RMSE
Face Head-Pose (Private),private,DLinear,1.0507,0.8652,1.0251
Face Head-Pose (Private),private,PatchTST,1.0264,0.8602,1.0131
Face Head-Pose (Private),private,TiDE,1.0205,0.8603,1.0102
Face Head-Pose (Private),private,TimeXer,1.0243,0.8603,1.0121
Face Head-Pose (Private),private,iTransformer,1.0225,0.8577,1.0112
Weather CO2 (Public),public,DLinear,0.3877,0.4973,0.6226
Weather CO2 (Public),public,PatchTST,0.3741,0.489,0.6116
Weather CO2 (Public),public,TiDE,0.372,0.4882,0.6099
Weather CO2 (Public),public,TimeXer,0.3798,0.4919,0.6162
Weather CO2 (Public),public,iTransformer,0.3745,0.4886,0.6119
