Dataset,DatasetKey,Model,MSE_mean,MSE_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n_seeds,MSE,MAE,RMSE
Face Head-Pose (Private),private,DLinear,1.0507,0.00043588989435401935,0.8652000000000001,0.0003464101615137373,1.0250666666666666,0.00020816659994668814,3,1.0507,0.8652,1.0251
Face Head-Pose (Private),private,PatchTST,1.0264,0.00272213151776316,0.8602333333333334,0.00040414518843270386,1.0131,0.0013114877048604418,3,1.0264,0.8602,1.0131
Face Head-Pose (Private),private,TiDE,1.0205333333333333,0.0004163331998931807,0.8603333333333333,0.0005033222956847108,1.0102,0.00019999999999997797,3,1.0205,0.8603,1.0102
Face Head-Pose (Private),private,TimeXer,1.0243333333333335,0.00293995464817629,0.8602666666666666,0.0013428824718988938,1.0121,0.0014422205101856523,3,1.0243,0.8603,1.0121
Face Head-Pose (Private),private,iTransformer,1.0224666666666666,0.0005507570547285495,0.8577333333333333,0.0005033222956847531,1.0111666666666668,0.0002516611478424225,3,1.0225,0.8577,1.0112
Weather CO2 (Public),public,DLinear,0.3877,0.0020420577856662277,0.4972666666666667,0.0019139836293274534,0.6226333333333334,0.0016653327995730073,3,0.3877,0.4973,0.6226
Weather CO2 (Public),public,PatchTST,0.3740666666666666,0.0031817186131606915,0.48900000000000005,0.001907878402833895,0.6116,0.0026057628441590384,3,0.3741,0.489,0.6116
Weather CO2 (Public),public,TiDE,0.3719666666666666,0.0012662279942148662,0.4881666666666667,0.0006110100926607901,0.6099,0.0010148891565091894,3,0.372,0.4882,0.6099
Weather CO2 (Public),public,TimeXer,0.37976666666666664,0.0010785793124908662,0.4918666666666667,0.0008326663997864391,0.6162333333333333,0.0008504900548114658,3,0.3798,0.4919,0.6162
Weather CO2 (Public),public,iTransformer,0.37446666666666667,0.0024027761721253727,0.48856666666666665,0.0011846237095944631,0.6119333333333333,0.002000833159794524,3,0.3745,0.4886,0.6119
