Seed,Dataset,DatasetKey,Model,MSE,MAE,RMSE
42,Face Head-Pose (Private),private,TimeXer,1.0276,0.8618,1.0137
42,Face Head-Pose (Private),private,iTransformer,1.0225,0.8572,1.0112
42,Face Head-Pose (Private),private,PatchTST,1.0235,0.8606,1.0117
42,Face Head-Pose (Private),private,TiDE,1.0204,0.8604,1.0102
42,Face Head-Pose (Private),private,DLinear,1.0504,0.8648,1.0249
42,Weather CO2 (Public),public,TimeXer,0.381,0.4928,0.6172
42,Weather CO2 (Public),public,iTransformer,0.3768,0.4893,0.6139
42,Weather CO2 (Public),public,PatchTST,0.3761,0.49,0.6133
42,Weather CO2 (Public),public,TiDE,0.3706,0.4875,0.6088
42,Weather CO2 (Public),public,DLinear,0.3861,0.4955,0.6213
123,Face Head-Pose (Private),private,TimeXer,1.0219,0.8593,1.0109
123,Face Head-Pose (Private),private,iTransformer,1.0219,0.8582,1.0109
123,Face Head-Pose (Private),private,PatchTST,1.0289,0.8603,1.0143
123,Face Head-Pose (Private),private,TiDE,1.0202,0.8598,1.01
123,Face Head-Pose (Private),private,DLinear,1.0512,0.8654,1.0253
123,Weather CO2 (Public),public,TimeXer,0.3793,0.4912,0.6159
123,Weather CO2 (Public),public,iTransformer,0.3746,0.4892,0.612
123,Weather CO2 (Public),public,PatchTST,0.3704,0.4868,0.6086
123,Weather CO2 (Public),public,TiDE,0.3722,0.4883,0.6101
123,Weather CO2 (Public),public,DLinear,0.387,0.497,0.6221
456,Face Head-Pose (Private),private,TimeXer,1.0235,0.8597,1.0117
456,Face Head-Pose (Private),private,iTransformer,1.023,0.8578,1.0114
456,Face Head-Pose (Private),private,PatchTST,1.0268,0.8598,1.0133
456,Face Head-Pose (Private),private,TiDE,1.021,0.8608,1.0104
456,Face Head-Pose (Private),private,DLinear,1.0505,0.8654,1.025
456,Weather CO2 (Public),public,TimeXer,0.379,0.4916,0.6156
456,Weather CO2 (Public),public,iTransformer,0.372,0.4872,0.6099
456,Weather CO2 (Public),public,PatchTST,0.3757,0.4902,0.6129
456,Weather CO2 (Public),public,TiDE,0.3731,0.4887,0.6108
456,Weather CO2 (Public),public,DLinear,0.39,0.4993,0.6245
