Dataset,DatasetKey,Ablation,Description,MSE,MAE,RMSE
Face Head-Pose (Private),private,exo_add,Add exo summary instead of cross-attn,1.021,0.8589,1.0104
Face Head-Pose (Private),private,exo_concat,Concat exo instead of cross-attn,1.0226,0.8595,1.0113
Face Head-Pose (Private),private,exo_patch,Replace exo variate with patch embed,1.0222,0.8606,1.0111
Face Head-Pose (Private),private,full,"Full model (P+G, V, Cross-Attn)",1.0243,0.8603,1.0121
Face Head-Pose (Private),private,no_exo,Remove exogenous variables,1.0212,0.8588,1.0105
Face Head-Pose (Private),private,no_global,Remove global token (P only),1.0207,0.8586,1.0103
Weather CO2 (Public),public,exo_add,Add exo summary instead of cross-attn,0.3753,0.4888,0.6125
Weather CO2 (Public),public,exo_concat,Concat exo instead of cross-attn,0.3777,0.4906,0.6146
Weather CO2 (Public),public,exo_patch,Replace exo variate with patch embed,0.3855,0.4968,0.6209
Weather CO2 (Public),public,full,"Full model (P+G, V, Cross-Attn)",0.3781,0.4905,0.6149
Weather CO2 (Public),public,no_exo,Remove exogenous variables,0.3856,0.4963,0.621
Weather CO2 (Public),public,no_global,Remove global token (P only),0.3856,0.4959,0.621
