Dataset,DatasetKey,Ablation,Description,MSE_mean,MSE_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n_seeds,MSE,MAE,RMSE
Face Head-Pose (Private),private,exo_add,Add exo summary instead of cross-attn,1.0209666666666666,0.0010692676621564716,0.8588666666666667,0.0010016652800877762,1.0104333333333333,0.0004932882862315704,3,1.021,0.8589,1.0104
Face Head-Pose (Private),private,exo_concat,Concat exo instead of cross-attn,1.0226,0.0021794494717703003,0.8595333333333334,0.0010598742063723072,1.0112666666666665,0.0010785793124908011,3,1.0226,0.8595,1.0113
Face Head-Pose (Private),private,exo_patch,Replace exo variate with patch embed,1.0222,0.0019313207915828024,0.8605666666666667,0.0012013880860626519,1.0110666666666666,0.0009712534856222222,3,1.0222,0.8606,1.0111
Face Head-Pose (Private),private,full,"Full model (P+G, V, Cross-Attn)",1.0243333333333335,0.00293995464817629,0.8602666666666666,0.0013428824718988938,1.0121,0.0014422205101856523,3,1.0243,0.8603,1.0121
Face Head-Pose (Private),private,no_exo,Remove exogenous variables,1.0211666666666668,0.0012096831541081785,0.8587666666666666,0.0007637626158260043,1.0105333333333333,0.0005686240703076701,3,1.0212,0.8588,1.0105
Face Head-Pose (Private),private,no_global,Remove global token (P only),1.0207,0.0024879710609250053,0.8585666666666666,0.0013012814197295383,1.0102666666666666,0.0012220201853216167,3,1.0207,0.8586,1.0103
Weather CO2 (Public),public,exo_add,Add exo summary instead of cross-attn,0.37526666666666664,0.0035501173689518302,0.48880000000000007,0.0025059928172283356,0.6125333333333334,0.0029005746557075975,3,0.3753,0.4888,0.6125
Weather CO2 (Public),public,exo_concat,Concat exo instead of cross-attn,0.3777,0.0019287301521986103,0.4906,0.001044030650891037,0.6145666666666667,0.0015502687938978214,3,0.3777,0.4906,0.6146
Weather CO2 (Public),public,exo_patch,Replace exo variate with patch embed,0.3854666666666667,0.0015143755588800584,0.4968000000000001,0.0008660254037844234,0.6208666666666667,0.0012503332889007327,3,0.3855,0.4968,0.6209
Weather CO2 (Public),public,full,"Full model (P+G, V, Cross-Attn)",0.37810000000000005,0.0004358898943540878,0.49046666666666666,0.0004509249752822952,0.6149,0.0003464101615137373,3,0.3781,0.4905,0.6149
Weather CO2 (Public),public,no_exo,Remove exogenous variables,0.38563333333333333,0.001908751773629361,0.4963,0.001558845726811998,0.6210333333333333,0.0015502687938977854,3,0.3856,0.4963,0.621
Weather CO2 (Public),public,no_global,Remove global token (P only),0.38563333333333333,0.0030038863715748923,0.49593333333333334,0.001209683154108284,0.6209666666666668,0.0023692474191889016,3,0.3856,0.4959,0.621
