Seed,Dataset,DatasetKey,Ablation,Description,MSE,MAE,RMSE
42,Face Head-Pose (Private),private,full,"Full model (P+G, V, Cross-Attn)",1.0276,0.8618,1.0137
42,Face Head-Pose (Private),private,no_global,Remove global token (P only),1.0234,0.8585,1.0116
42,Face Head-Pose (Private),private,exo_patch,Replace exo variate with patch embed,1.0201,0.8594,1.01
42,Face Head-Pose (Private),private,exo_add,Add exo summary instead of cross-attn,1.0222,0.86,1.011
42,Face Head-Pose (Private),private,exo_concat,Concat exo instead of cross-attn,1.0211,0.8597,1.0105
42,Face Head-Pose (Private),private,no_exo,Remove exogenous variables,1.0198,0.8586,1.0099
42,Weather CO2 (Public),public,full,"Full model (P+G, V, Cross-Attn)",0.3783,0.4909,0.6151
42,Weather CO2 (Public),public,no_global,Remove global token (P only),0.384,0.4955,0.6197
42,Weather CO2 (Public),public,exo_patch,Replace exo variate with patch embed,0.3844,0.4958,0.62
42,Weather CO2 (Public),public,exo_add,Add exo summary instead of cross-attn,0.3753,0.489,0.6126
42,Weather CO2 (Public),public,exo_concat,Concat exo instead of cross-attn,0.3785,0.4913,0.6152
42,Weather CO2 (Public),public,no_exo,Remove exogenous variables,0.3878,0.4981,0.6228
123,Face Head-Pose (Private),private,full,"Full model (P+G, V, Cross-Attn)",1.0219,0.8593,1.0109
123,Face Head-Pose (Private),private,no_global,Remove global token (P only),1.0185,0.8599,1.0092
123,Face Head-Pose (Private),private,exo_patch,Replace exo variate with patch embed,1.0226,0.8618,1.0113
123,Face Head-Pose (Private),private,exo_add,Add exo summary instead of cross-attn,1.0204,0.8581,1.0102
123,Face Head-Pose (Private),private,exo_concat,Concat exo instead of cross-attn,1.0216,0.8584,1.0108
123,Face Head-Pose (Private),private,no_exo,Remove exogenous variables,1.0216,0.8581,1.0107
123,Weather CO2 (Public),public,full,"Full model (P+G, V, Cross-Attn)",0.3776,0.49,0.6145
123,Weather CO2 (Public),public,no_global,Remove global token (P only),0.3891,0.4973,0.6237
123,Weather CO2 (Public),public,exo_patch,Replace exo variate with patch embed,0.3872,0.4973,0.6223
123,Weather CO2 (Public),public,exo_add,Add exo summary instead of cross-attn,0.3717,0.4862,0.6096
123,Weather CO2 (Public),public,exo_concat,Concat exo instead of cross-attn,0.3791,0.4911,0.6157
123,Weather CO2 (Public),public,no_exo,Remove exogenous variables,0.3849,0.4954,0.6204
456,Face Head-Pose (Private),private,full,"Full model (P+G, V, Cross-Attn)",1.0235,0.8597,1.0117
456,Face Head-Pose (Private),private,no_global,Remove global token (P only),1.0202,0.8573,1.01
456,Face Head-Pose (Private),private,exo_patch,Replace exo variate with patch embed,1.0239,0.8605,1.0119
456,Face Head-Pose (Private),private,exo_add,Add exo summary instead of cross-attn,1.0203,0.8585,1.0101
456,Face Head-Pose (Private),private,exo_concat,Concat exo instead of cross-attn,1.0251,0.8605,1.0125
456,Face Head-Pose (Private),private,no_exo,Remove exogenous variables,1.0221,0.8596,1.011
456,Weather CO2 (Public),public,full,"Full model (P+G, V, Cross-Attn)",0.3784,0.4905,0.6151
456,Weather CO2 (Public),public,no_global,Remove global token (P only),0.3838,0.495,0.6195
456,Weather CO2 (Public),public,exo_patch,Replace exo variate with patch embed,0.3848,0.4973,0.6203
456,Weather CO2 (Public),public,exo_add,Add exo summary instead of cross-attn,0.3788,0.4912,0.6154
456,Weather CO2 (Public),public,exo_concat,Concat exo instead of cross-attn,0.3755,0.4894,0.6128
456,Weather CO2 (Public),public,no_exo,Remove exogenous variables,0.3842,0.4954,0.6199
